,0,1,2
0,AGROS,34.9148750,33.0156667
1,AKAMAS,35.025974,32.328942
2,ALONOUDI,34.9294861,32.7012028
3,ASTROMERITIS,35.1330472,33.0220222
4,ATHALASSA,35.140957,33.396579
5,ATHIENOU,35.0502333,33.5423000
6,CYTASAT,34.861263,33.382527
7,KALAVASOS,34.8044694,33.2634750
8,KAMPOS,35.072153,32.774028
9,KEPNIC,35.1523889,33.3122806
10,KILANI,34.843888,32.844472
11,KYPEROUNTA,34.9491667,32.9825000
12,LCLK,34.873476,33.617338
13,LIMASSOL,34.656904,33.015781
14,LYSOS,35.011868,32.528019
15,MALLIA,34.8158556,32.7851750
16,MATHIATIS,34.9611,33.3310
17,OLYMPUS,34.938325,32.860094
18,PARALIMNI,35.061720,33.971373
19,PAREKLISIA,34.7388351,33.1590222
20,PENTAKOMO,34.707635,33.261697
21,PLATANIA,34.9477833,32.9258194
22,POLIS,35.041950,32.437228
23,PRODROMOS,34.949912,32.830595
24,PYRGOS,35.1415413,32.6163214
25,SAITTAS,34.8632083,32.9113833
26,TEPAK,34.676960,33.037545
27,TRIPILOS,34.9893528,32.6817639
28,TROODOS,34.924542,32.881496
29,VISITOR,35.144477,33.403387
30,XYLIATOS,35.0140917,33.0492028
